date,Time,price,percentChange,change
4/1/2008,0:00:00,113.46,11.69521559,11.88
5/1/2008,0:00:00,127.35,12.24219989,13.89
6/2/2008,0:00:00,140,9.93325481,12.65
7/1/2008,0:00:00,124.08,-11.37142857,-15.92
8/1/2008,0:00:00,115.46,-6.947130883,-8.62
9/2/2008,0:00:00,100.64,-12.83561407,-14.82
10/1/2008,0:00:00,67.81,-32.62122417,-32.83
11/3/2008,0:00:00,54.43,-19.73160301,-13.38
12/1/2008,0:00:00,44.6,-18.05989344,-9.83
1/2/2009,0:00:00,41.68,-6.547085202,-2.92
2/2/2009,0:00:00,44.76,7.389635317,3.08
3/2/2009,0:00:00,49.66,10.94727435,4.9
4/1/2009,0:00:00,51.12,2.939991945,1.46
5/1/2009,0:00:00,66.31,29.7143975,15.19
6/1/2009,0:00:00,69.89,5.39888403,3.58
7/1/2009,0:00:00,69.45,-0.629560738,-0.44
8/3/2009,0:00:00,69.96,0.734341253,0.51
9/1/2009,0:00:00,70.61,0.929102344,0.65
10/1/2009,0:00:00,77,9.049709673,6.39
11/2/2009,0:00:00,77.28,0.363636364,0.28
12/1/2009,0:00:00,79.36,2.691511387,2.08
1/4/2010,0:00:00,72.89,-8.152721774,-6.47
2/1/2010,0:00:00,79.66,9.287968171,6.77
3/1/2010,0:00:00,83.76,5.146874215,4.1
4/1/2010,0:00:00,86.15,2.85339064,2.39
5/3/2010,0:00:00,73.97,-14.13813117,-12.18
6/1/2010,0:00:00,75.63,2.244153035,1.66
7/1/2010,0:00:00,78.95,4.38979241,3.32
8/2/2010,0:00:00,71.92,-8.904369854,-7.03
9/1/2010,0:00:00,79.97,11.19299221,8.05
10/1/2010,0:00:00,81.43,1.825684632,1.46
11/1/2010,0:00:00,84.11,3.29117033,2.68
12/1/2010,0:00:00,91.38,8.64344311,7.27
1/3/2011,0:00:00,92.19,0.886408404,0.81
2/1/2011,0:00:00,96.97,5.184944137,4.78
3/1/2011,0:00:00,106.72,10.05465608,9.75
4/1/2011,0:00:00,113.93,6.755997001,7.21
5/2/2011,0:00:00,102.7,-9.856929694,-11.23
6/1/2011,0:00:00,95.42,-7.088607595,-7.28
7/1/2011,0:00:00,95.7,0.29343953,0.28
8/1/2011,0:00:00,88.81,-7.199582027,-6.89
9/1/2011,0:00:00,79.2,-10.82085351,-9.61
10/3/2011,0:00:00,93.19,17.66414141,13.99
11/1/2011,0:00:00,100.36,7.693958579,7.17
12/1/2011,0:00:00,98.83,-1.524511758,-1.53
1/3/2012,0:00:00,98.48,-0.354143479,-0.35
2/1/2012,0:00:00,107.07,8.722583266,8.59
3/1/2012,0:00:00,103.02,-3.782572149,-4.05
4/2/2012,0:00:00,104.87,1.795767812,1.85
5/1/2012,0:00:00,86.53,-17.48831887,-18.34
6/1/2012,0:00:00,84.96,-1.81439963,-1.57
7/2/2012,0:00:00,88.06,3.648775895,3.1
8/1/2012,0:00:00,96.47,9.550306609,8.41
9/4/2012,0:00:00,92.19,-4.436612418,-4.28
10/1/2012,0:00:00,86.24,-6.454062263,-5.95
11/1/2012,0:00:00,88.91,3.096011132,2.67
12/3/2012,0:00:00,91.82,3.272972669,2.91
1/2/2013,0:00:00,97.49,6.175125245,5.67
2/1/2013,0:00:00,92.05,-5.580059493,-5.44
3/1/2013,0:00:00,97.23,5.627376426,5.18
4/1/2013,0:00:00,93.46,-3.877404093,-3.77
5/1/2013,0:00:00,91.97,-1.594264926,-1.49
6/3/2013,0:00:00,96.56,4.990757856,4.59
7/1/2013,0:00:00,105.03,8.771748136,8.47
8/1/2013,0:00:00,107.65,2.494525374,2.62
9/3/2013,0:00:00,102.33,-4.941941477,-5.32
10/1/2013,0:00:00,96.38,-5.814521646,-5.95
11/1/2013,0:00:00,92.72,-3.797468354,-3.66
12/2/2013,0:00:00,98.42,6.147540984,5.7
1/2/2014,0:00:00,97.49,-0.944929892,-0.93
2/3/2014,0:00:00,102.59,5.231305775,5.1
3/3/2014,0:00:00,101.58,-0.984501413,-1.01
4/1/2014,0:00:00,99.74,-1.811380193,-1.84
5/1/2014,0:00:00,102.71,2.97774213,2.97
6/2/2014,0:00:00,105.37,2.589815987,2.66
7/1/2014,0:00:00,98.17,-6.83306444,-7.2
8/1/2014,0:00:00,95.96,-2.251196903,-2.21
9/2/2014,0:00:00,91.16,-5.002084202,-4.8
10/1/2014,0:00:00,80.54,-11.64984642,-10.62
11/3/2014,0:00:00,66.15,-17.86689844,-14.39
12/1/2014,0:00:00,53.27,-19.47089947,-12.88
1/2/2015,0:00:00,48.24,-9.442462925,-5.03
2/2/2015,0:00:00,49.76,3.150912106,1.52
3/2/2015,0:00:00,47.6,-4.340836013,-2.16
4/1/2015,0:00:00,59.63,25.27310924,12.03
5/1/2015,0:00:00,60.3,1.123595506,0.67
6/1/2015,0:00:00,59.47,-1.376451078,-0.83
7/1/2015,0:00:00,47.12,-20.76677316,-12.35
8/3/2015,0:00:00,49.2,4.41426146,2.08
9/1/2015,0:00:00,45.09,-8.353658537,-4.11
